time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-30 09:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 09:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,80.13500213623047,623,0.0
2020-02-03 08:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-03 08:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,76.07499694824219,623,0.0
2020-02-28 09:30:00-05:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,64.31500244140625,757,0.0
2020-02-29 09:30:00-05:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-29 09:30:00-05:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,67.53075256347657,757,0.0
2020-04-22 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-22 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,68.96749877929688,688,0.0
2020-05-04 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-05-04 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,73.76499938964844,322,0.0
2020-06-04 09:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-04 09:30:00-04:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,82.76099853515625,688,0.0
2020-06-09 09:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-09 09:30:00-04:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,88.51799926757812,322,0.0
2020-07-31 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-31 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,102.88500213623047,531,0.0
2020-08-20 09:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-08-20 09:30:00-04:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,123.46200256347656,531,0.0
2020-09-02 09:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-02 09:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,126.91000366210938,473,0.0
2020-10-30 09:30:00-04:00,MLTrader,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-10-30 09:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-10-30 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2020-10-30 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-30 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,111.05999755859375,811,0.0
2020-10-30 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,day,0.0,1,stock,111.05999755859375,473.0,0.0
2020-11-12 09:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-11-12 09:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,119.62000274658203,157,0.0
2020-11-24 09:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-11-24 09:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,113.63900260925293,157,0.0
2020-12-22 09:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-22 09:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,133.2719970703125,811,0.0
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,519,0.0
2021-01-29 09:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-29 09:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,132.54400405883788,519,0.0
2021-02-23 09:30:00-05:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-02-23 09:30:00-05:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,123.76000213623047,570,0.0
2021-04-07 09:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-04-07 09:30:00-04:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,129.948002243042,570,0.0
2021-04-13 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-13 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,134.94000244140625,510,0.0
2021-05-03 08:30:00-04:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-05-03 08:30:00-04:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,128.19300231933593,510,0.0
2021-05-17 09:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-05-17 09:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,126.55999755859375,530,0.0
2021-06-21 08:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-06-21 08:30:00-04:00,MLTrader,AAPL,buy,stop,fill,1,day,0.0,1,stock,132.88799743652345,530,0.0
2021-06-21 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-06-21 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,132.1300048828125,495,0.0
2021-07-28 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-28 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.69000244140625,226,0.0
2021-07-29 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-29 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.3800048828125,113,0.0
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,146.64999389648438,56,0.0
2021-09-22 09:30:00-04:00,MLTrader,AAPL,sell,market,fill,1,day,0.0,1,stock,146.64999389648438,834.0,0.0
2021-10-27 09:30:00-04:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-27 09:30:00-04:00,MLTrader,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2021-10-27 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2021-10-27 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-27 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,149.82000732421875,490,0.0
2021-10-27 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,day,0.0,1,stock,149.82000732421875,56.0,0.0
2021-10-29 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-29 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,147.22000122070312,221,0.0
2021-12-09 09:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-09 09:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,176.66400146484375,221,0.0
2021-12-13 08:30:00-05:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-12-13 08:30:00-05:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,181.1199951171875,490,0.0
2022-01-25 09:30:00-05:00,MLTrader,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-25 09:30:00-05:00,MLTrader,AAPL,sell,market,fill,1,gtc,0.0,1,stock,158.97999572753906,505,0.0
2022-01-28 09:30:00-05:00,MLTrader,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
