time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-30 09:30:00-05:00,MLTrader,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 09:30:00-05:00,MLTrader,TSLA,buy,market,fill,1,gtc,0.0,1,stock,42.16133117675781,1185,0.0
2020-02-03 08:30:00-05:00,MLTrader,TSLA,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-02-03 08:30:00-05:00,MLTrader,TSLA,sell,limit,fill,1,day,0.0,1,stock,50.593597412109375,1185,0.0
2020-03-16 09:30:00-04:00,MLTrader,TSLA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-16 09:30:00-04:00,MLTrader,TSLA,sell,market,fill,1,gtc,0.0,1,stock,29.333999633789062,1874,0.0
2020-03-17 09:30:00-04:00,MLTrader,TSLA,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,MLTrader,TSLA,buy,limit,fill,1,day,0.0,1,stock,23.467199707031252,1874,0.0
2020-04-20 09:30:00-04:00,MLTrader,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-20 09:30:00-04:00,MLTrader,TSLA,buy,market,fill,1,gtc,0.0,1,stock,48.67466735839844,1242,0.0
2020-04-21 09:30:00-04:00,MLTrader,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-04-21 09:30:00-04:00,MLTrader,TSLA,sell,stop,fill,1,day,0.0,1,stock,46.24093399047851,1242,0.0
2020-06-11 09:30:00-04:00,MLTrader,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-11 09:30:00-04:00,MLTrader,TSLA,buy,market,fill,1,gtc,0.0,1,stock,65.33333587646484,902,0.0
2020-06-12 09:30:00-04:00,MLTrader,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-12 09:30:00-04:00,MLTrader,TSLA,sell,stop,fill,1,day,0.0,1,stock,62.066669082641596,902,0.0
2020-09-03 09:30:00-04:00,MLTrader,TSLA,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-03 09:30:00-04:00,MLTrader,TSLA,sell,market,fill,1,gtc,0.0,1,stock,134.27000427246094,428,0.0
2020-09-04 09:30:00-04:00,MLTrader,TSLA,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-04 09:30:00-04:00,MLTrader,TSLA,buy,stop,fill,1,day,0.0,1,stock,140.983504486084,428,0.0
2020-10-08 09:30:00-04:00,MLTrader,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-08 09:30:00-04:00,MLTrader,TSLA,buy,market,fill,1,gtc,0.0,1,stock,143.3766632080078,391,0.0
2020-10-22 09:30:00-04:00,MLTrader,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-10-22 09:30:00-04:00,MLTrader,TSLA,sell,stop,fill,1,day,0.0,1,stock,136.20783004760742,391,0.0
2020-11-12 09:30:00-05:00,MLTrader,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
